FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:11/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE: AMAZON;;;;;;;;;;;ESTILO PROPIO 1:3727;;;;;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE: SYDNEY;;;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.0%;;;
SILUETA:REGULAR;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.0%;;;
DIVISION:;;;;;;;;;;;TALLAS:  XXS-S-M-L-XL-XXL;;;;;;;;;;;;;;LARGO DE MANGA ;;;;0.0%;;;
TIPO MUESTRA:PRODUCCION ;;;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA ;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADOS DE COSTADO;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;4  5/16;;4  7/16;;4  7/16;;4  9/16;;4  9/16;;4 11/16;;4  5/8 ;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;8  3/4 ;;9  1/8 ;;9  1/2 ;;9  7/8 ;;10  3/8 ;;10  3/4 ;;11  1/8 ;;;;;;;;;;;;;
D;SISA RECTA ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;8  1/8 ;;8  3/8 ;;8  5/8 ;;9  1/16;;9  9/16;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA ;;P;CRITICA;  3/8 ;  1/4 ;20  1/8 ;;20  5/8 ;;21  7/16;;22  1/8 ;;22 15/16;;23  5/8 ;;24  5/8 ;;;;;;;;;;;;;
F;ANCHO DE PECHO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;10  5/8 ;;11  1/8 ;;11  5/8 ;;12  1/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;9  9/16;;10  1/16;;10  9/16;;11  1/16;;11 13/16;;12  5/16;;12  3/4 ;;;;;;;;;;;;;
H;ABERTURA DE CUELLO  DELANTERO;;P;CRITICA;;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;4      ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  3/8 ;;18  1/8 ;;18  7/8 ;;19  7/8 ;;20  5/8 ;;21  3/8 ;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;7  1/2 ;;7  3/4 ;;8      ;;8  7/16;;9      ;;9  1/4 ;;9  1/2 ;;;;;;;;;;;;;
X;ANCGHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  3/4 ;;21  3/4 ;;22  3/4 ;;23  3/4 ;;25  1/4 ;;26  1/4 ;;27  1/4 ;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;19  7/16;;19 15/16;;20 11/16;;21  7/16;;22  3/16;;22 15/16;;23  7/8 ;;;;;;;;;;;;;
LL;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  5/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;23  1/8 ;;24  1/8 ;;25  1/8 ;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;10      ;;10  1/4 ;;10  1/2 ;;10  3/4 ;;11      ;;11  1/4 ;;11  1/2 ;;;;;;;;;;;;;
N;ANCHO DE BICEP;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17      ;;17  1/2 ;;18  1/4 ;;19  1/4 ;;19  3/4 ;;20  1/4 ;;;;;;;;;;;;;
O;ANCHO DE BOCA MANGA ;;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/2 ;;17  1/2 ;;18      ;;18  1/2 ;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE;;C;CRITICA;;;15  3/4 ;;16  1/4 ;;16  7/16;;16 15/16;;17  1/4 ;;17  3/4 ;;18      ;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;3   1/16;;;;;;;;;;;;;
R;LARGO DE TAPETE;;C;CRITICA;;;13  5/16;;13  9/16;;13  9/16;;13 13/16;;13 13/16;;14  1/16;;14  5/16;;;;;;;;;;;;;
S;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA ;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;
