FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;09/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;11-10-22 SE ACTUALIZA SOLO EDITADO DE TALLAS;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;06/12/2021;;;;;;;;;1K48
CLIENTE:;;ORVIS;;;;;;;;;ESTILO PROPIO 1:;;;;;;01407-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;;;;10056;;;
ESTILO CLIENTE:;;3B90;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;-2.0%;;;;ORVIS;;;;;;;;;
SILUETA:;;TALL;;;;;;;;;TEMPORADA:;;;;;;SS23;;;;;;;;TRAVEZ;;;;1.5%;;;;3B90;;;;;;;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;XS-TALL-S-TALL-M-TALL-L-TALL-XL-TALL-XXL-TALL;;;;;;;;LARG.DE MANGA;;;;-3.0%;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 6;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;YOEL;;;;;;;;;;;MENS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PRODUCCION PROGRAMA # 108;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
