FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/03/2022;;
FECHA DE GENERACION:;;06/12/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12173;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;;3.0%
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;01425-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;6.0%;;3.0%
ESTILO CLIENTE:;;411450;;;;;;;;;ESTILO PROPIO 2:;;;;;; ---;;;;;;;;HILO;;;;0.0%;;;6.0%;;3.0%
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;SS23;;;;;;;;TRAVEZ;;;;1.0%;;;6.0%;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;-0.5%;;;;;
TIPO MUESTRA:;;PRODUCCIÓN PROGRAMA # 076;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICAL;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICAL;;;7  3/8 ;;7  5/8 ;;7 15/16;;8  3/16;;8  7/16;;8  9/16;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICAL;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;15  1/2 ;;16      ;;16  1/2 ;;17  1/8 ;;17  7/8 ;;18  1/4 ;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICAL;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICAL;  3/8 ;  3/8 ;14  1/2 ;;15      ;;15  1/2 ;;16  1/8 ;;16  7/8 ;;17  1/4 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICAL;  5/16;  3/8 ;7  1/2 ;;8      ;;8  1/2 ;;8  7/8 ;;9  1/4 ;;9  5/8 ;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  3/8 ;;24  1/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  3/8 ;;24  1/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  3/8 ;;29      ;;29  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICAL;;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;5  1/8 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;6  3/4 ;;7      ;;7  1/4 ;;7  9/16;;7 13/16;;7 15/16;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;3  3/8 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  3/8 ;;17  1/8 ;;17  1/2 ;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICAL;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15  1/8 ;;15  7/8 ;;16  1/4 ;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  1/4 ;;8  3/4 ;;9  1/8 ;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;26      ;;26  1/2 ;;27      ;;27  5/8 ;;28  1/4 ;;28  5/8 ;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;9  3/8 ;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;14  3/8 ;;15  1/4 ;;16  1/8 ;;17      ;;18      ;;18  3/4 ;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;12  5/8 ;;13  3/8 ;;14  3/16;;15      ;;16  1/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;17  3/4 ;;18  1/2 ;;19  1/8 ;;19 11/16;;20  1/2 ;;20  7/8 ;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;17  3/8 ;;18  1/8 ;;18  3/4 ;;19  5/16;;20  1/8 ;;20  1/2 ;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;13  1/4 ;;13  1/2 ;;13  3/4 ;;14      ;;14  5/16;;14  7/16;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
