FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE PRODUCCIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01714-P2
FECHA DE GENERACION:;;22/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;;16/12/2022
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01714-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;12/01/2023
ESTILO CLIENTE:;;PF7839;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;ESPECIAL;;;;HILO;;;;0.0%;;;;;3.0%
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;FW23;;;;;;;;TRAVEZ;;;;3.0%;;;;;3.0%
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;32-34-36-38-40-42-44-46-48-50;;;;;;;;LARG.DE MANGA;;;;0.0%;;;;;3.0%
TIPO MUESTRA:;;PRODUCCIÓN;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;LEANDRO;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;9/05/2023
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;;;;;;01714-P2
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;;;
;;;;;;;; ;;         ;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;;;1.0%
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;;;3.0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);32;;34;;36;;38;;40;;42;;44;;46;;48;;50;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;14.9;;15.1;;15.3;;15.5;;15.9;;16.3;;16.7;;17.1;;17.5;;17.9;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.3;;3.4;;3.4;;3.5;;3.7;;3.8;;4.0;;4.2;;4.4;;4.5;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;40.2;;40.8;;41.4;;42.2;;43.5;;44.8;;46.2;;47.7;;49.2;;50.7;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;15.3;;15.7;;16.1;;16.5;;17.0;;17.4;;17.8;;18.4;;19.0;;19.6;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;38.3;;39.3;;40.3;;41.3;;42.6;;43.9;;45.2;;46.5;;47.8;;49.1;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;19.4;;20.2;;21.0;;21.7;;22.4;;23.0;;23.6;;24.4;;25.3;;26.3;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;46.4;;48.4;;50.4;;52.4;;54.4;;56.4;;58.4;;60.9;;63.4;;65.9;;;;;;;;;
