FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9806
FECHA DE GENERACION:;;20/02/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;02555-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;28/08/2021;;;
ESTILO CLIENTE:;;AN14456;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.5%;;;;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.5%;;;;;;2.0%;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;LARG.DE MANGA;;;;1.5%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;9/07/2022;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON Y MANGA;;;;  1/4 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  5/16;16  1/2 ;;16 15/16;;17  5/16;;17  3/4 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20      ;;21      ;;22      ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RANGLA DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;8 13/16;;9  1/8 ;;9  1/2 ;;9 13/16;;10  5/16;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RANGLA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;10  1/16;;10  5/16;;10  3/4 ;;11  1/8 ;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  5/16;;7  7/16;;7  1/2 ;;7 11/16;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  5/16;19  5/8 ;;20      ;;20  3/8 ;;20 13/16;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  3/16;;6  3/16;;6  1/4 ;;6  1/4 ;;6  5/16;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
K;LARGO DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;26  1/2 ;;27  1/8 ;;27  3/4 ;;28  3/8 ;;29  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO SUPERIOR DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;4  5/8 ;;4  7/8 ;;5  3/16;;5  3/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA EN BICEP;;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;15  1/8 ;;15 13/16;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7 11/16;;8  3/16;;8 11/16;;9  3/16;;9 11/16;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE PRETINA ;;C;CRITICA;  5/16;  5/16;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE PRETINA;;C;CRITICA;  5/16;  5/16;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE TAPETE;;C;CRITICA;;;15  1/8 ;;15  1/2 ;;15  7/8 ;;16  1/4 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO DELANTERO;;C;CRITICA;  1/4 ;  1/4 ;14  1/4 ;;14  9/16;;14  7/8 ;;15  1/4 ;;15  9/16;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO DELANTERO;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE CUELLO ESPALDA;;C;CRITICA;  1/4 ;  1/4 ;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  1/2 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO ESPALDA;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
