FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE - PAÑO LAVADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;6/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;
CLIENTE:;;LANDS END;;;;;;;;ESTILO PROPIO 1:;;;;;;5424;;;;;;;;ENCOGIMIENTO;;;;MOLDE
ESTILO CLIENTE:;;411451;;;;;;;;ESTILO PROPIO 2:;;;;;;6954;;;;;;;;HILO;;;;0.00%
SILUETA:;;PETITE;;;;;;;;TEMPORADA:;;;;;;FH20;;;;;;;;TRAVEZ;;;;1.00%
DIVISION:;;WOMENS;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;-0.50%
TIPO MUESTRA:;;PRODUCCION PROGRAMA#88;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;
;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16
;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16
;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;CRITICA;;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  3/8 ;;8  1/2 ;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;CRITICA;  3/8 ;  3/8 ;15  3/8 ;;15  7/8 ;;16  3/8 ;;17;;17  3/4 ;;18  1/8 ;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;CRITICA;;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;15;;15  1/2 ;;16  1/8 ;;16  7/8 ;;17  1/4 ;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;CRITICA;  5/16;  3/8 ;7;;7  7/16;;7  7/8 ;;8  5/16;;8  3/4 ;;9  1/8 ;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  3/8 ;;24  1/8 ;;25  1/8 ;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;CRITICA;  3/8 ;  3/8 ;19  1/16;;20  1/16;;21  1/16;;22  5/16;;24  1/16;;25  1/16;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;CRITICA;  5/16;  1/4 ;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  7/8 ;;27  1/2 ;;27  7/8 ;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;CRITICA;;;4  5/16;;4  7/16;;4  9/16;;4  3/4 ;;5;;5  1/8 ;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;CRITICA;;;6 13/16;;7  1/16;;7  5/16;;7  9/16;;7  7/8 ;;8;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;CRITICA;;;3  3/8 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;17  1/4 ;;17  5/8 ;;;;;;;;;;;;
