FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;12/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE CON/SIN TAJO;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;;;5854;;;;;;;;ENCOGIMIENTO;;;;MOLDE
ESTILO CLIENTE:;;AN06003;;;;;;;;;ESTILO PROPIO 2:;;;;;;1589;;;;;;;;HILO;;;;4.50%
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;2.50%
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;4.50%
TIPO MUESTRA:;;PRODUCCION PROGRAMA# 420-421;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO HASTA LINEA IMAGINARIA;;P;CRITICA;  1/4 ;  5/16;26 13/16;;27  5/16;;27 13/16;;28  5/16;;28 13/16;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18;;19;;20;;21;;22  1/2 ;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  5/8 ;;;;;;;;;;;;;;
