FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;2/09/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX;;;;;;;;;ESTILO PROPIO 1:;;;;7715;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE
ESTILO CLIENTE:;;MGK10437;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.00%
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;FALL 20;;;;;;;;;;TRAVEZ;;;;0.00%
DIVISION:;;CABALLERO;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL-2XL-3XL;;;;;;;;;;LARG.DE MANGA;;;;-1.00%
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADOS DE COSTADO;;;;  3/16
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;
A;ABERTURA DE CUELLO CANESU ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9 11/16;;10  3/16;;;;;;;;
B;CAIDA DE CUELLO ESPALDA EN CANESU;;P;CRITICA;  1/4 ;  1/4 ;;;2  7/8 ;;2  7/8 ;;3;;3;;3  1/8 ;;3  1/8 ;;3  1/4 ;;;;;;;;
C;ANCHO DE HOMBRO / HOMBRO - CANESU ESPALDA;;P;CRITICA;  3/16;  5/16;;;18 13/16;;19 5/8;;20  7/16;;21  7/16;;22  7/16;;23 15/16;;25  7/16;;;;;;;;
D;ALTO DE CANESU DESDE HPS.;;P;CRITICA;  3/16;  3/8 ;;;6  9/16;;6 13/16;;7  3/16;;7  7/16;;7 13/16;;8  9/16;;9  7/16;;;;;;;;
E;ANCHO INFERIOR DE CANESU;;P;CRITICA;  3/16;  3/8 ;;;15 13/16;;16 1/2;;17  3/16;;18 1/8;;19  1/16;;20  7/16;;21 13/16;;;;;;;;
F;LARGO ESPALDA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;25  7/16;;26  3/16;;26 13/16;;27  9/16;;28  3/16;;28  7/16;;28  9/16;;;;;;;;
G;ANCHO DE BORDE SUPERIOR ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;15 15/16;;16 5/8;;17 1/4;;18 1/4;;19 1/4;;20  9/16;;21 15/16;;;;;;;;
H;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;19 7/8;;20 7/8;;21 7/8;;23 3/8;;24 7/8;;27 3/8;;29 7/8;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;6  3/16;;6  7/16;;6 5/8;;6 15/16;;7  3/16;;4  7/16;;7  9/16;;;;;;;;
J;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;18 7/8;;19 7/8;;20 7/8;;22 3/8;;23 7/8;;26 3/8;;28 7/8;;;;;;;;
K;ABERTURA DE CUELLO FRENTE;;P;CRITICA;  1/4 ;  1/4 ;;;4 11/16;;4 15/16;;5  3/16;;5  7/16;;5 11/16;;6  3/16;;6 13/16;;;;;;;;
L;CAIDA DE CUELLO FRENTE;;P;CRITICA;  1/4 ;  1/4 ;;;1  9/16;;1 11/16;;1 13/16;;1 15/16;;2  1/16;;2  5/16;;2  9/16;;;;;;;;
M;ABERTURA DE TAJO PECHERA DELANTERO;;P;CRITICA;;;;;5  5/8 ;;6;;6;;6  3/8 ;;6  3/8 ;;6  1/2 ;;6  1/2 ;;;;;;;;
N;ANCHO DE HOMBRO / HOMBRO - DELANTERO;;P;CRITICA;  3/16;  5/16;;;15 3/8;;16  3/16;;16 15/16;;17 15/16;;18 15/16;;20 1/2;;22  1/16;;;;;;;;
O;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;5  9/16;;6  1/16;;6  9/16;;7  1/16;;4  7/16;;8  1/4 ;;9;;;;;;;;
P;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;;;26  1/8 ;;27  1/8 ;;28  1/8 ;;29  1/8 ;;30  1/8 ;;31  1/8 ;;32  1/8 ;;;;;;;;
Q;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;25  1/8 ;;26;;26  7/8 ;;27  3/8 ;;27  7/8 ;;27  5/8 ;;26  7/8 ;;;;;;;;
R;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/8 ;;;13 15/16;;14 15/16;;15 15/16;;16 15/16;;17 15/16;;19  9/16;;21  3/16;;;;;;;;
S;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/8 ;;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;11  5/16;;12  5/16;;;;;;;;
T;ALTO DE CUELLO EXTERIOR POR EL CENTRO ;;C;CRITICA;;;;;2 13/16;;2 13/16;;2 13/16;;2 13/16;;2 13/16;;3  1/16;;3  1/16;;;;;;;;
U;ALTO DE PUNTAS DE CUELLO EXTERIOR;;C;CRITICA;;;;;2 5/8;;2 5/8;;2 5/8;;2 5/8;;2 5/8;;2 7/8;;2 7/8;;;;;;;;
V;ANCHO SUPERIOR DE CUELLO EXTERIOR E INTERIOR;;C;CRITICA;;;;;15  9/16;;16  1/16;;16  9/16;;17  1/16;;17  9/16;;18  9/16;;19  9/16;;;;;;;;
W;ANCHO INFERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;;;17 15/16;;18  9/16;;19  5/16;;19 15/16;;20  5/8 ;;21  7/8 ;;23  3/16;;;;;;;;
