FICHA DE ESPECIFICACIONES TECNICAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;;28/04/2022;;;;;;;;;;;;;;PROGRAMA :  653;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;MARMAXX;;;;;PEDIDO:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTILO CLIENTE:;;ANO6772;;;;;PROGRAMA:  ;;;;;;;;;;;;;;;;;;;;;;ENCOGI,IENTO;MOLDE;;;;;;
ESTILO PROPIO:;;14015;;;;;DESTINO:;;;;;;;;;;;;;;;;;;;;;;HILO;2.0%;;;;;;
TIPO MUESTRA;;PRODUCCION;;;;;TALLAS;;;;;;;;;;;;;;;;;;;;;;TRAVEZ;2.0%;;;;;;
;;;;;;;PO:;;;;;;;;;;;;;;;;;;;;;;LARG.DE MANGA;1.0%;;;;;;
;;;;;;;;;;;;;;;;;;;;;MEDIDAS EN PULGADAS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;MEDIDAS ADICIONALES PARA DELANTERO SIN TAJO;;;;;;;;;MARGEN DE RECORTES;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;  1/8 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;  3/16;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;  3/16;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;  1/4 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YOEL MENESES;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;;;;;;;P/C;CRITICA;MARGEN DE COSTURA;;XS;;;;S;;;;M;;;;L;;;;XL;;;;XXL;;;
A;LARGO DE CUERPO DELANTERO ;;;;;;;;P;CRITICA;  5/16;  1/4 ;28  3/8 ;;;;29  1/8 ;;;;29  7/8 ;;;;30  5/8 ;;;;31  3/8 ;;;;32  1/8 ;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;;;19 11/16;;;;21  3/16;;;;22 11/16;;;;24  3/16;;;;25  3/16;;;
C;ANCHO DE HOMBRO DELANTERO;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;;;17      ;;;;17  3/4 ;;;;18  9/16;;;;19  5/16;;;;20      ;;;
D;ANCHO DE FALDON DELANTERO Y ESPALDA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;;;19 11/16;;;;21  3/16;;;;22 11/16;;;;24  3/16;;;;25  3/16;;;
E;SISA RECTA DELANTERO;;;;;;;;P;CRITICA;;;7 11/16;;;;8  3/16;;;;8 11/16;;;;9  3/16;;;;9 11/16;;;;10  1/8 ;;;
F;ABERTURA DE CUELLO DELANTERO;;;;;;;;P;CRITICA;;;6  1/8 ;;;;6  3/8 ;;;;6  5/8 ;;;;6  7/8 ;;;;7  1/8 ;;;;7  3/8 ;;;
G;CAIDA DE CUELLO DELANTERO;;;;;;;;P;CRITICA;;;2  1/8 ;;;;2  3/8 ;;;;2  5/8 ;;;;2  7/8 ;;;;3  1/8 ;;;;3  3/8 ;;;
H;LARGO DE TAJO EN DELANTERO;;;;;;;;P;CRITICA;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;
I;LARGO DE CUERPO ESPALDA;;;;;;;;P;CRITICA;  5/16;  1/4 ;29  5/8 ;;;;30  3/8 ;;;;31  1/8 ;;;;31  7/8 ;;;;32  5/8 ;;;;33  3/8 ;;;
J;ANCHO DE HOMBRO ESPALDA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;17      ;;;;17  7/8 ;;;;18  5/8 ;;;;19  3/8 ;;;;20  1/8 ;;;;20  7/8 ;;;
